1	10248	11	12	252
2	10248	42	10	140
3	10248	72	5	174
4	10249	14	9	209.25
5	10249	51	40	2120
6	10250	41	10	96.5
7	10250	51	35	1855
8	10250	65	15	315.75
9	10251	22	6	126
10	10251	57	15	292.5
11	10251	65	20	421
12	10252	20	40	3240
13	10252	33	25	62.5
14	10252	60	40	1360
15	10253	31	20	250
16	10253	39	42	756
17	10253	49	40	800
18	10254	24	15	67.5
19	10254	55	21	504
20	10254	74	21	210
21	10255	2	20	380
22	10255	16	35	610.75
23	10255	36	25	475
24	10255	59	30	1650
25	10256	53	15	492
26	10256	77	12	156
27	10257	27	25	1097.5
28	10257	39	6	108
29	10257	77	15	195
30	10258	2	50	950
31	10258	5	65	1387.75
32	10258	32	6	192
33	10259	21	10	100
34	10259	37	1	26
35	10260	41	16	154.4
36	10260	57	50	975
37	10260	62	15	739.5
38	10260	70	21	315
39	10261	21	20	200
40	10261	35	20	360
41	10262	5	12	256.2
42	10262	7	15	450
43	10262	56	2	76
44	10263	16	60	1047
45	10263	24	28	126
46	10263	30	60	1553.4
47	10263	74	36	360
48	10264	2	35	665
49	10264	41	25	241.25
50	10265	17	30	1170
51	10265	70	20	300
52	10266	12	12	456
53	10267	40	50	920
54	10267	59	70	3850
55	10267	76	15	270
56	10268	29	10	1237.9
57	10268	72	4	139.2
58	10269	33	60	150
59	10269	72	20	696
60	10270	36	30	570
61	10270	43	25	1150
62	10271	33	24	60
63	10272	20	6	486
64	10272	31	40	500
65	10272	72	24	835.2
66	10273	10	24	744
67	10273	31	15	187.5
68	10273	33	20	50
69	10273	40	60	1104
70	10273	76	33	594
71	10274	71	20	430
72	10274	72	7	243.6
73	10275	24	12	54
74	10275	59	6	330
75	10276	10	15	465
76	10276	13	10	60
77	10277	28	20	912
78	10277	62	12	591.6
79	10278	44	16	311.2
80	10278	59	15	825
81	10278	63	8	351.2
82	10278	73	25	375
83	10279	17	15	585
84	10280	24	12	54
85	10280	55	20	480
86	10280	75	30	232.5
87	10281	19	1	9.2
88	10281	24	6	27
89	10281	35	4	72
90	10282	30	6	155.34
91	10282	57	2	39
92	10283	15	20	310
93	10283	19	18	165.6
94	10283	60	35	1190
95	10283	72	3	104.4
96	10284	27	15	658.5
97	10284	44	21	408.45
98	10284	60	20	680
99	10284	67	5	70
100	10285	1	45	810
101	10285	40	40	736
102	10285	53	36	1180.8
103	10286	35	100	1800
104	10286	62	40	1972
105	10287	16	40	698
106	10287	34	20	280
107	10287	46	15	180
108	10288	54	10	74.5
109	10288	68	3	37.5
110	10289	3	30	300
111	10289	64	9	299.25
112	10290	5	20	427
113	10290	29	15	1856.85
114	10290	49	15	300
115	10290	77	10	130
116	10291	13	20	120
117	10291	44	24	466.8
118	10291	51	2	106
119	10292	20	20	1620
120	10293	18	12	750
121	10293	24	10	45
122	10293	63	5	219.5
123	10293	75	6	46.5
124	10294	1	18	324
125	10294	17	15	585
126	10294	43	15	690
127	10294	60	21	714
128	10294	75	6	46.5
129	10295	56	4	152
130	10296	11	12	252
131	10296	16	30	523.5
132	10296	69	15	540
133	10297	39	60	1080
134	10297	72	20	696
135	10298	2	40	760
136	10298	36	40	760
137	10298	59	30	1650
138	10298	62	15	739.5
139	10299	19	15	138
140	10299	70	20	300
141	10300	66	30	510
142	10300	68	20	250
143	10301	40	10	184
144	10301	56	20	760
145	10302	17	40	1560
146	10302	28	28	1276.8
147	10302	43	12	552
148	10303	40	40	736
149	10303	65	30	631.5
150	10303	68	15	187.5
151	10304	49	30	600
152	10304	59	10	550
153	10304	71	2	43
154	10305	18	25	1562.5
155	10305	29	25	3094.75
156	10305	39	30	540
157	10306	30	10	258.9
158	10306	53	10	328
159	10306	54	5	37.25
160	10307	62	10	493
161	10307	68	3	37.5
162	10308	69	1	36
163	10308	70	5	75
164	10309	4	20	440
165	10309	6	30	750
166	10309	42	2	28
167	10309	43	20	920
168	10309	71	3	64.5
169	10310	16	10	174.5
170	10310	62	5	246.5
171	10311	42	6	84
172	10311	69	7	252
173	10312	28	4	182.4
174	10312	43	24	1104
175	10312	53	20	656
176	10312	75	10	77.5
177	10313	36	12	228
178	10314	32	40	1280
179	10314	58	30	397.5
180	10314	62	25	1232.5
181	10315	34	14	196
182	10315	70	30	450
183	10316	41	10	96.5
184	10316	62	70	3451
185	10317	1	20	360
186	10318	41	20	193
187	10318	76	6	108
188	10319	17	8	312
189	10319	28	14	638.4
190	10319	76	30	540
191	10320	71	30	645
192	10321	35	10	180
193	10322	52	20	140
194	10323	15	5	77.5
195	10323	25	4	56
196	10323	39	4	72
197	10324	16	21	366.45
198	10324	35	70	1260
199	10324	46	30	360
200	10324	59	40	2200
201	10324	63	80	3512
202	10325	6	6	150
203	10325	13	12	72
204	10325	14	9	209.25
205	10325	31	4	50
206	10325	72	40	1392
207	10326	4	24	528
208	10326	57	16	312
209	10326	75	50	387.5
210	10327	2	25	475
211	10327	11	50	1050
212	10327	30	35	906.15
213	10327	58	30	397.5
214	10328	59	9	495
215	10328	65	40	842
216	10328	68	10	125
217	10329	19	10	92
218	10329	30	8	207.12
219	10329	38	20	5270
220	10329	56	12	456
221	10330	26	50	1561.5
222	10330	72	25	870
223	10331	54	15	111.75
224	10332	18	40	2500
225	10332	42	10	140
226	10332	47	16	152
227	10333	14	10	232.5
228	10333	21	10	100
229	10333	71	40	860
230	10334	52	8	56
231	10334	68	10	125
232	10335	2	7	133
233	10335	31	25	312.5
234	10335	32	6	192
235	10335	51	48	2544
236	10336	4	18	396
237	10337	23	40	360
238	10337	26	24	749.52
239	10337	36	20	380
240	10337	37	28	728
241	10337	72	25	870
242	10338	17	20	780
243	10338	30	15	388.35
244	10339	4	10	220
245	10339	17	70	2730
246	10339	62	28	1380.4
247	10340	18	20	1250
248	10340	41	12	115.8
249	10340	43	40	1840
250	10341	33	8	20
251	10341	59	9	495
252	10342	2	24	456
253	10342	31	56	700
254	10342	36	40	760
255	10342	55	40	960
256	10343	64	50	1662.5
257	10343	68	4	50
258	10343	76	15	270
259	10344	4	35	770
260	10344	8	70	2800
261	10345	8	70	2800
262	10345	19	80	736
263	10345	42	9	126
264	10346	17	36	1404
265	10346	56	20	760
266	10347	25	10	140
267	10347	39	50	900
268	10347	40	4	73.6
269	10347	75	6	46.5
270	10348	1	15	270
271	10348	23	25	225
272	10349	54	24	178.8
273	10350	50	15	243.75
274	10350	69	18	648
275	10351	38	20	5270
276	10351	41	13	125.45
277	10351	44	77	1497.65
278	10351	65	10	210.5
279	10352	24	10	45
280	10352	54	20	149
281	10353	11	12	252
282	10353	38	50	13175
283	10354	1	12	216
284	10354	29	4	495.16
285	10355	24	25	112.5
286	10355	57	25	487.5
287	10356	31	30	375
288	10356	55	12	288
289	10356	69	20	720
290	10357	10	30	930
291	10357	26	16	499.68
292	10357	60	8	272
293	10358	24	10	45
294	10358	34	10	140
295	10358	36	20	380
296	10359	16	56	977.2
297	10359	31	70	875
298	10359	60	80	2720
299	10360	28	30	1368
300	10360	29	35	4332.65
301	10360	38	10	2635
302	10360	49	35	700
303	10360	54	28	208.6
304	10361	39	54	972
305	10361	60	55	1870
306	10362	25	50	700
307	10362	51	20	1060
308	10362	54	24	178.8
309	10363	31	20	250
310	10363	75	12	93
311	10363	76	12	216
312	10364	69	30	1080
313	10364	71	5	107.5
314	10365	11	24	504
315	10366	65	5	105.25
316	10366	77	5	65
317	10367	34	36	504
318	10367	54	18	134.1
319	10367	65	15	315.75
320	10367	77	7	91
321	10368	21	5	50
322	10368	28	13	592.8
323	10368	57	25	487.5
324	10368	64	35	1163.75
325	10369	29	20	2475.8
326	10369	56	18	684
327	10370	1	15	270
328	10370	64	30	997.5
329	10370	74	20	200
330	10371	36	6	114
331	10372	20	12	972
332	10372	38	40	10540
333	10372	60	70	2380
334	10372	72	42	1461.6
335	10373	58	80	1060
336	10373	71	50	1075
337	10374	31	30	375
338	10374	58	15	198.75
339	10375	14	15	348.75
340	10375	54	10	74.5
341	10376	31	42	525
342	10377	28	20	912
343	10377	39	20	360
344	10378	71	6	129
345	10379	41	8	77.2
346	10379	63	16	702.4
347	10379	65	20	421
348	10380	30	18	466.02
349	10380	53	20	656
350	10380	60	6	204
351	10380	70	30	450
352	10381	74	14	140
353	10382	5	32	683.2
354	10382	18	9	562.5
355	10382	29	14	1733.06
356	10382	33	60	150
357	10382	74	50	500
358	10383	13	20	120
359	10383	50	15	243.75
360	10383	56	20	760
361	10384	20	28	2268
362	10384	60	15	510
363	10385	7	10	300
364	10385	60	20	680
365	10385	68	8	100
366	10386	24	15	67.5
367	10386	34	10	140
368	10387	24	15	67.5
369	10387	28	6	273.6
370	10387	59	12	660
371	10387	71	15	322.5
372	10388	45	15	142.5
373	10388	52	20	140
374	10388	53	40	1312
375	10389	10	16	496
376	10389	55	15	360
377	10389	62	20	986
378	10389	70	30	450
379	10390	31	60	750
380	10390	35	40	720
381	10390	46	45	540
382	10390	72	24	835.2
383	10391	13	18	108
384	10392	69	50	1800
385	10393	2	25	475
386	10393	14	42	976.5
387	10393	25	7	98
388	10393	26	70	2186.1
389	10393	31	32	400
390	10394	13	10	60
391	10394	62	10	493
392	10395	46	28	336
393	10395	53	70	2296
394	10395	69	8	288
395	10396	23	40	360
396	10396	71	60	1290
397	10396	72	21	730.8
398	10397	21	10	100
399	10397	51	18	954
400	10398	35	30	540
401	10398	55	120	2880
402	10399	68	60	750
403	10399	71	30	645
404	10399	76	35	630
405	10399	77	14	182
406	10400	29	21	2599.59
407	10400	35	35	630
408	10400	49	30	600
409	10401	30	18	466.02
410	10401	56	70	2660
411	10401	65	20	421
412	10401	71	60	1290
413	10402	23	60	540
414	10402	63	65	2853.5
